barcodeID,sampleID,treatment_mmol,species,dry_whole_g,LDMC,LMA,area_cm2,gsw,Fs,Fm_prime,Phi_PS2
20107,BO_R5_35,35,B. officinalis,2.167,114.56,0.040298143786276136,640.2280000000001,0.00807,96.44294,480.670105,0.799357
20773,BO_R5_15,15,B. officinalis,2.588,120.62,0.04842112016227949,654.673,0.005916,94.537857,453.05835,0.791334
20840,RA_R1_25,25,H. vulgare,0.873,78.45,0.02814671726408193,699.904,0.030787,94.102982,400.58075,0.765084
20913,RA_R2_25,25,H. vulgare,1.122,80.15,0.028346493893036607,761.999,0.014841,125.109673,437.290558,0.713898
21589,BO_R4_25,25,B. officinalis,2.586,108.36,0.04615766083655992,786.435,0.016118,92.887047,413.940674,0.775603
21941,BO_R3_15,15,B. officinalis,1.273,97.24,0.032298101757384005,925.751,0.009736,90.616104000000007,450.803864,0.79899
21991,BO_R3_25,25,B. officinalis,1.268,104.53,0.038797798030193724,641.789,0.050168,91.376785,449.961304,0.796923
22209,BO_R3_30,30,B. officinalis,2.923,112.76,0.047238986970500316,709.16,0.029493,90.125801,441.476227,0.795854
22283,BO_R1_35,35,B. officinalis,1.954,118.84,0.045235835287431206,517.289,0.04672,107.537628,483.661652,0.777659
22303,BO_R4_15,15,B. officinalis,1.091,92.41,0.03654519504763221,809.956,0.035518,89.871529,444.713837,0.797912
22603,BO_R5_5,5,B. officinalis,0.431,125.72,0.044287879341939,246.117,0.195357,101.634262,431.962616,0.764715
22612,RA_R2_20,20,H. vulgare,1.058,98.12,0.034834454442211935,915.76,0.136602,91.788773,412.685394,0.777582
22702,RA_R3_20,20,H. vulgare,1.152,97.11,0.04096273990081863,1125.413,0.017584,92.898849,412.789459,0.774949
23401,BO_R3_35,35,B. officinalis,2.461,120.77,0.0425233611603362,562.044,0.022949,93.361618000000007,456.913605,0.795669
23461,RA_R3_5,5,H. vulgare,0.241,89.39,0.032677291324859935,293.782,0.558101,85.914375,379.584442,0.773662
23588,BO_R3_5,5,B. officinalis,0.304,104.45,0.03816451149425288,178.176,0.064679,100.539566,435.331116,0.76905
23641,BO_R2_20,20,B. officinalis,1.143,88.43,0.0346874971844564,887.9279999999999,0.037288,167.652725,447.158936,0.625071
24159,RA_R4_5,5,H. vulgare,0.543,90.83,0.03542719887766634,564.538,0.397606,96.269135,391.450867,0.754071
24199,BO_R2_35,35,B. officinalis,1.974,116.08,0.03673717817998415,642.4010000000001,0.035919,117.603065,458.471069,0.743489
24341,BO_R4_5,5,B. officinalis,1.153,137.07,0.04719711474241952,336.885,0.038642,91.523048,418.466797,0.78129
24427,BO_R5_25,25,B. officinalis,2.988,112.42,0.04553889396771685,586.312,0.012415,105.378273,460.222351,0.771028
24543,RA_R3_10,10,H. vulgare,1.437,90.81,0.032384129970028555,775.071,0.011516,96.45295,419.487122,0.770069
24604,BO_R1_15,15,B. officinalis,1.522,108.1,0.046397488239810686,730.643,0.014287,91.160057,429.160248,0.787585
24762,BO_R2_15,15,B. officinalis,2.081,93.38,0.04255236304674919,719.114,0.103188,237.869385,391.118652,0.391823
24778,BO_R2_10,10,B. officinalis,2.444,115.19,0.050203707926740025,587.606,0.309076,106.805923,467.713593,0.771642
24781,RA_R4_25,25,H. vulgare,1.528,106.25,0.03892655540071671,947.939,0.005375,140.06459,394.255402,0.644736
24837,RA_R1_10,10,H. vulgare,0.918,114.81,0.03731143682464962,747.76,0.038214,89.564323,413.693909,0.783501
24994,BO_R5_0,0,B. officinalis,0.462,127.75,0.0482794213128673,60.067,0.029709,103.581909,408.429626,0.74639
25315,BO_R4_30,30,B. officinalis,1.097,84.52,0.03295152335184062,685.856,0.362216,153.678055,418.367371,0.632672
25506,BO_R1_20,20,B. officinalis,1.364,104.14,0.037815794110190065,698.1210000000001,0.015698,100.945473,462.994324,0.781973
25661,BO_R1_30,30,B. officinalis,1.298,88.78,0.03597910730458589,725.421,0.026471,95.883247,472.793701,0.797199
25724,RA_R2_5,5,H. vulgare,0.325,88.94,0.029688631426502535,276.2,0.041193,97.776886,398.457184,0.754611
25910,RA_R5_25,25,H. vulgare,2.851,113.26,0.04561763238260271,1284.591,0.008815,114.066841,528.456665,0.784151
26068,BO_R1_5,5,B. officinalis,2.796,129.2,0.06452007728421182,571.915,0.017287,147.484299,485.999817,0.696534
26103,BO_R3_0,0,B. officinalis,0.038,120.88,0.054674685620557675,20.119,0.021822,85.441589,300.433868,0.715606
26204,RA_R5_15,15,H. vulgare,0.797,87.22,0.032182483193592105,587.2760000000001,0.13965,87.164642,433.023346,0.798707
26289,RA_R2_10,10,H. vulgare,1.346,108.3,0.035534574881983715,771.0799999999999,0.016233,84.652664,369.364868,0.770816
26427,BO_R4_0,0,B. officinalis,0.026,139.24,0.055865921787709494,19.69,0.02749,63.046932,259.197601,0.756761
26547,BO_R2_30,30,B. officinalis,2.666,122.3,0.04466121165705995,620.2249999999999,0.004155,87.353111,435.850037,0.79958
26642,RA_R4_10,10,H. vulgare,0.888,108.49,0.03613666908958373,965.7779999999999,0.011527,86.128593,412.16217,0.791032
26743,BO_R5_10,10,B. officinalis,2.392,106.98,0.05074638204125042,658.1750000000001,0.224565,93.651291,472.567688,0.801825
26824,RA_R1_5,5,H. vulgare,0.37,104.76,0.03427489423918124,417.215,0.019506,98.488213,391.042816,0.74814
27057,HO_R3_25,25,R. sativus,4.112,179.65,0.03918427358251758,288.381,-0.004059,103.278282,394.297607,0.73807
27059,BO_R2_25,25,B. officinalis,2.514,106.68,0.04058966787063073,849.9699999999999,0.020382,97.608444,468.566193,0.791687
27120,BO_R3_10,10,B. officinalis,1.923,123.68,0.05284001558149264,554.504,0.026024,92.05484,461.96936,0.800734
27375,RA_R5_5,5,H. vulgare,0.354,108.96,0.03458060592088644,407.743,0.37091,82.335594,377.45047,0.781864
27387,RA_R5_20,20,H. vulgare,2.761,104.02,0.043145956607495074,1443.936,0.020385,88.656303,421.662933,0.789746
27480,RA_R5_10,10,H. vulgare,0.842,123.41,0.04140509404436434,821.155,0.030254,85.225937,402.238007,0.788121
27826,BO_R1_0,0,B. officinalis,0.693,166.88,0.07416222555664786,173.943,0.04177,111.483696,377.323151,0.70454
27901,BO_R2_0,0,B. officinalis,0.057,128.21,0.055292914213043595,36.171,0.043008,80.144409,286.589752,0.720351
27967,BO_R4_10,10,B. officinalis,1.358,166.39,0.03814672741742783,516.427,0.428643,106.678963,472.106323,0.774036
28155,BO_R3_20,20,B. officinalis,2.528,109.54,0.04474987013149577,639.108,0.037187,81.755875,427.314148,0.808675
28163,BO_R4_35,35,B. officinalis,2.615,127.04,0.04624906481670408,588.12,-0.004518,115.796684,429.522156,0.730406
28395,BO_R5_30,30,B. officinalis,2.919,107.57,0.047013200881829524,752.98,0.096742,105.922577,491.973633,0.784699
28679,RA_R5_30,30,H. vulgare,0.994,107.32,0.03532913778363736,970.87,0.29635,89.137314,432.031281,0.793679
28762,RA_R4_15,15,H. vulgare,1.3,93.97,0.03235114954778719,924.233,0.113673,171.488647,487.335907,0.64811
28832,BO_R1_10,10,B. officinalis,2.979,115.87,0.04747660303353772,644.528,0.017398,92.932106,438.570862,0.788102
28882,BO_R4_20,20,B. officinalis,2.472,98.88,0.0450133415832012,646.475,0.036084,93.029381,450.47879,0.793488
